f_id,i_id,similar_instances
16,1,"[(17, 2), (17, 3), (17, 4), (17, 5), (18, 2), (18, 3), (18, 4), (18, 5), (21, 1), (21, 2), (21, 3), (21, 4), (21, 5), (22, 1), (22, 2), (22, 3), (22, 4), (22, 5), (23, 1), (23, 2), (23, 3), (23, 4), (23, 5)]"
16,2,"[(17, 2), (17, 3), (17, 4), (17, 5), (18, 2), (18, 3), (18, 4), (18, 5), (21, 1), (21, 2), (21, 3), (21, 4), (21, 5), (22, 1), (22, 2), (22, 3), (22, 4), (22, 5), (23, 1), (23, 2), (23, 3), (23, 4), (23, 5)]"
16,3,"[(17, 2), (17, 3), (17, 4), (17, 5), (18, 2), (18, 3), (18, 4), (18, 5), (21, 1), (21, 2), (21, 3), (21, 4), (21, 5), (22, 1), (22, 2), (22, 3), (22, 4), (22, 5), (23, 1), (23, 2), (23, 3), (23, 4), (23, 5)]"
16,4,"[(17, 2), (17, 3), (17, 4), (17, 5), (18, 2), (18, 3), (18, 4), (18, 5), (21, 1), (21, 2), (21, 3), (21, 4), (21, 5), (22, 1), (22, 2), (22, 3), (22, 4), (22, 5), (23, 1), (23, 2), (23, 3), (23, 4), (23, 5)]"
16,5,"[(17, 2), (17, 3), (17, 4), (17, 5), (18, 2), (18, 3), (18, 4), (18, 5), (21, 1), (21, 2), (21, 3), (21, 4), (21, 5), (22, 1), (22, 2), (22, 3), (22, 4), (22, 5), (23, 1), (23, 2), (23, 3), (23, 4), (23, 5)]"
17,1,"[(1, 1), (1, 2), (1, 3), (1, 4), (1, 5), (3, 1), (3, 2), (3, 4), (3, 5), (4, 2), (14, 1), (14, 2), (14, 3), (14, 4), (14, 5), (15, 1), (15, 2), (15, 3), (15, 4), (15, 5), (18, 1), (18, 3), (18, 4)]"
17,2,"[(4, 1), (4, 4), (4, 5), (9, 1), (9, 2), (9, 3), (9, 4), (9, 5), (15, 5), (18, 1), (18, 2), (18, 3), (18, 4), (18, 5), (19, 1), (19, 2), (19, 3), (19, 4), (19, 5), (21, 3), (24, 1), (24, 2), (24, 3), (24, 4), (24, 5)]"
17,3,"[(3, 5), (4, 1), (4, 3), (4, 4), (4, 5), (18, 1), (18, 2), (18, 3), (18, 4), (18, 5), (19, 1), (19, 2), (19, 3), (19, 4), (19, 5), (24, 1), (24, 2), (24, 3), (24, 4), (24, 5)]"
17,4,"[(4, 1), (4, 5), (15, 5), (18, 1), (18, 2), (18, 3), (18, 4), (18, 5), (19, 1), (19, 2), (19, 3), (19, 4), (19, 5), (24, 1), (24, 2), (24, 3), (24, 4), (24, 5)]"
17,5,"[(4, 1), (4, 5), (9, 1), (9, 2), (9, 3), (9, 4), (9, 5), (15, 5), (18, 1), (18, 2), (18, 3), (18, 4), (18, 5), (19, 1), (19, 2), (19, 3), (19, 4), (19, 5), (24, 1), (24, 2), (24, 3), (24, 4), (24, 5)]"
18,1,"[(1, 1), (1, 2), (1, 3), (1, 4), (1, 5), (4, 2), (4, 3), (4, 4), (4, 5), (14, 5), (15, 1), (15, 5), (17, 1), (17, 2), (17, 3), (17, 4), (17, 5)]"
18,2,"[(4, 1), (4, 4), (4, 5), (16, 1), (16, 2), (16, 3), (16, 4), (16, 5), (17, 2), (17, 3), (17, 4), (17, 5), (19, 1), (19, 2), (19, 3), (19, 4), (19, 5), (21, 1), (21, 2), (21, 3), (21, 4), (21, 5), (22, 1), (22, 2), (22, 3), (22, 4), (22, 5), (23, 1), (23, 2), (23, 3), (23, 4), (23, 5), (24, 1), (24, 2), (24, 3), (24, 4), (24, 5)]"
18,3,"[(4, 1), (4, 3), (4, 4), (4, 5), (17, 1), (17, 2), (17, 3), (17, 4), (17, 5), (24, 1), (24, 2), (24, 3), (24, 4), (24, 5)]"
18,4,"[(4, 1), (4, 3), (4, 4), (4, 5), (16, 1), (16, 2), (16, 3), (16, 4), (16, 5), (17, 1), (17, 2), (17, 3), (17, 4), (17, 5), (19, 1), (19, 2), (19, 3), (19, 4), (19, 5), (21, 1), (21, 2), (21, 3), (21, 4), (21, 5), (22, 1), (22, 2), (22, 3), (22, 4), (22, 5), (23, 1), (23, 2), (23, 3), (23, 4), (23, 5), (24, 1), (24, 2), (24, 3), (24, 4), (24, 5)]"
18,5,"[(4, 1), (4, 3), (4, 4), (4, 5), (16, 1), (16, 2), (16, 3), (16, 4), (16, 5), (17, 2), (17, 3), (17, 4), (17, 5), (19, 1), (19, 2), (19, 3), (19, 4), (19, 5), (21, 1), (21, 2), (21, 3), (21, 4), (21, 5), (22, 1), (22, 2), (22, 3), (22, 4), (22, 5), (23, 1), (23, 2), (23, 3), (23, 4), (23, 5), (24, 1), (24, 2), (24, 3), (24, 4), (24, 5)]"
19,1,"[(1, 1), (1, 2), (1, 3), (1, 4), (1, 5), (3, 1), (3, 5), (4, 1), (4, 3), (4, 4), (4, 5), (13, 3), (13, 4), (13, 5), (14, 5), (15, 1), (15, 4), (15, 5), (17, 1), (17, 2), (17, 3), (18, 2), (24, 1), (24, 2), (24, 3), (24, 4), (24, 5)]"
19,2,"[(1, 1), (1, 2), (1, 3), (1, 4), (1, 5), (3, 1), (3, 5), (4, 1), (4, 3), (4, 4), (4, 5), (9, 1), (9, 3), (9, 5), (13, 3), (13, 4), (13, 5), (15, 1), (15, 4), (15, 5), (17, 1), (17, 2), (17, 3), (24, 1), (24, 2), (24, 3), (24, 4), (24, 5)]"
19,3,"[(1, 1), (1, 2), (1, 3), (1, 4), (1, 5), (3, 1), (3, 5), (4, 1), (4, 3), (4, 4), (4, 5), (9, 1), (9, 3), (9, 5), (13, 1), (13, 3), (13, 4), (13, 5), (14, 5), (15, 1), (15, 4), (15, 5), (17, 2), (17, 3), (24, 1), (24, 2), (24, 3), (24, 4), (24, 5)]"
19,4,"[(1, 1), (1, 2), (1, 3), (1, 4), (1, 5), (3, 1), (3, 5), (4, 1), (4, 3), (4, 4), (4, 5), (15, 1), (15, 5), (17, 1), (17, 2), (17, 3), (17, 4), (18, 2), (18, 3), (18, 5), (24, 1), (24, 2), (24, 3), (24, 4), (24, 5)]"
19,5,"[(1, 1), (1, 2), (1, 3), (1, 4), (1, 5), (3, 1), (3, 5), (4, 1), (4, 3), (4, 4), (4, 5), (15, 1), (15, 5), (17, 1), (17, 2), (17, 3), (17, 4), (18, 2), (18, 3), (18, 5), (24, 1), (24, 2), (24, 3), (24, 4), (24, 5)]"
20,1,"[(1, 1), (1, 2), (1, 3), (1, 4), (1, 5), (2, 3), (3, 1), (3, 2), (3, 3), (3, 4), (3, 5), (4, 2), (4, 3), (5, 1), (5, 2), (5, 3), (5, 4), (5, 5), (6, 1), (6, 2), (6, 3), (6, 4), (6, 5), (7, 1), (7, 2), (7, 4), (7, 5), (8, 1), (8, 2), (8, 3), (8, 4), (8, 5), (10, 1), (10, 2), (10, 3), (10, 4), (11, 3), (11, 4), (13, 1), (13, 2), (13, 3), (13, 4), (13, 5), (14, 1), (14, 2), (14, 5), (15, 1), (15, 4)]"
20,2,"[(1, 1), (1, 2), (1, 3), (1, 4), (1, 5), (2, 3), (3, 1), (3, 2), (3, 3), (3, 4), (3, 5), (4, 2), (4, 3), (5, 1), (5, 2), (5, 3), (5, 4), (5, 5), (6, 1), (6, 2), (6, 3), (6, 4), (6, 5), (7, 1), (7, 2), (7, 4), (7, 5), (8, 1), (8, 2), (8, 3), (8, 4), (8, 5), (10, 1), (10, 2), (10, 3), (10, 4), (11, 3), (11, 4), (13, 1), (13, 2), (13, 3), (13, 4), (13, 5), (14, 1), (14, 2), (14, 3), (14, 5), (15, 1), (15, 4)]"
20,3,"[(1, 1), (1, 2), (1, 3), (1, 4), (1, 5), (2, 3), (3, 1), (3, 2), (3, 3), (3, 4), (3, 5), (4, 2), (4, 3), (5, 1), (5, 2), (5, 3), (5, 4), (5, 5), (6, 1), (6, 2), (6, 3), (6, 4), (6, 5), (7, 1), (7, 2), (7, 4), (7, 5), (8, 1), (8, 2), (8, 3), (8, 4), (8, 5), (10, 1), (10, 2), (10, 3), (10, 4), (11, 3), (11, 4), (13, 1), (13, 2), (13, 3), (13, 4), (13, 5), (14, 1), (14, 2), (14, 5), (15, 1), (15, 4)]"
20,4,"[(1, 1), (1, 2), (1, 3), (1, 4), (1, 5), (2, 3), (3, 1), (3, 2), (3, 3), (3, 4), (3, 5), (4, 2), (4, 3), (5, 1), (5, 2), (5, 3), (5, 4), (5, 5), (6, 1), (6, 2), (6, 3), (6, 4), (6, 5), (7, 1), (7, 2), (7, 4), (7, 5), (8, 1), (8, 2), (8, 3), (8, 4), (8, 5), (10, 1), (10, 2), (10, 3), (10, 4), (11, 3), (11, 4), (13, 1), (13, 2), (13, 3), (13, 4), (13, 5), (14, 1), (14, 2), (14, 5), (15, 1), (15, 4)]"
20,5,"[(1, 1), (1, 2), (1, 3), (1, 4), (1, 5), (2, 3), (3, 1), (3, 2), (3, 3), (3, 4), (3, 5), (4, 2), (4, 3), (5, 1), (5, 2), (5, 3), (5, 4), (5, 5), (6, 1), (6, 2), (6, 3), (6, 4), (6, 5), (7, 1), (7, 2), (7, 4), (7, 5), (8, 1), (8, 2), (8, 3), (8, 4), (8, 5), (10, 1), (10, 2), (10, 3), (10, 4), (11, 3), (11, 4), (13, 1), (13, 2), (13, 3), (13, 4), (13, 5), (14, 1), (14, 2), (14, 5), (15, 1), (15, 4)]"
21,1,"[(16, 1), (16, 2), (16, 3), (16, 4), (16, 5), (17, 1), (17, 2), (17, 3), (17, 4), (17, 5), (18, 1), (18, 2), (18, 3), (18, 4), (18, 5), (19, 1), (19, 2), (19, 3), (19, 4), (19, 5), (22, 1), (22, 2), (22, 3), (22, 4), (22, 5), (23, 1), (23, 2), (23, 3), (23, 4), (23, 5), (24, 1), (24, 2), (24, 3), (24, 4), (24, 5)]"
21,2,"[(16, 1), (16, 2), (16, 3), (16, 4), (16, 5), (17, 1), (17, 2), (17, 3), (17, 4), (17, 5), (18, 1), (18, 2), (18, 3), (18, 4), (18, 5), (19, 1), (19, 2), (19, 3), (19, 4), (19, 5), (22, 1), (22, 2), (22, 3), (22, 4), (22, 5), (23, 1), (23, 2), (23, 3), (23, 4), (23, 5), (24, 1), (24, 2), (24, 3), (24, 4), (24, 5)]"
21,3,"[(4, 1), (16, 1), (16, 2), (16, 3), (16, 4), (16, 5), (17, 1), (17, 2), (17, 3), (17, 4), (17, 5), (18, 1), (18, 2), (18, 3), (18, 4), (18, 5), (19, 1), (19, 2), (19, 3), (19, 4), (19, 5), (22, 1), (22, 2), (22, 3), (22, 4), (22, 5), (23, 1), (23, 2), (23, 3), (23, 4), (23, 5), (24, 1), (24, 2), (24, 3), (24, 4), (24, 5)]"
21,4,"[(4, 1), (16, 1), (16, 2), (16, 3), (16, 4), (16, 5), (17, 1), (17, 2), (17, 3), (17, 4), (17, 5), (18, 1), (18, 2), (18, 3), (18, 4), (18, 5), (19, 1), (19, 2), (19, 3), (19, 4), (19, 5), (22, 1), (22, 2), (22, 3), (22, 4), (22, 5), (23, 1), (23, 2), (23, 3), (23, 4), (23, 5), (24, 1), (24, 2), (24, 3), (24, 4), (24, 5)]"
21,5,"[(4, 1), (16, 1), (16, 2), (16, 3), (16, 4), (16, 5), (17, 1), (17, 2), (17, 3), (17, 4), (17, 5), (18, 1), (18, 2), (18, 3), (18, 4), (18, 5), (19, 1), (19, 2), (19, 3), (19, 4), (19, 5), (22, 1), (22, 2), (22, 3), (22, 4), (22, 5), (23, 1), (23, 2), (23, 3), (23, 4), (23, 5), (24, 1), (24, 2), (24, 3), (24, 4), (24, 5)]"
22,1,"[(16, 1), (16, 2), (16, 3), (16, 4), (16, 5), (17, 1), (17, 2), (17, 3), (17, 4), (17, 5), (18, 1), (18, 2), (18, 3), (18, 4), (18, 5), (19, 1), (19, 2), (19, 3), (19, 4), (19, 5), (21, 1), (21, 2), (21, 3), (21, 4), (21, 5), (23, 1), (23, 2), (23, 3), (23, 4), (23, 5), (24, 1), (24, 2), (24, 3), (24, 4), (24, 5)]"
22,2,"[(16, 1), (16, 2), (16, 3), (16, 4), (16, 5), (17, 1), (17, 2), (17, 3), (17, 4), (17, 5), (18, 1), (18, 2), (18, 3), (18, 4), (18, 5), (19, 1), (19, 2), (19, 3), (19, 4), (19, 5), (21, 1), (21, 2), (21, 3), (21, 4), (21, 5), (23, 1), (23, 2), (23, 3), (23, 4), (23, 5), (24, 1), (24, 2), (24, 3), (24, 4), (24, 5)]"
22,3,"[(16, 1), (16, 2), (16, 3), (16, 4), (16, 5), (17, 1), (17, 2), (17, 3), (17, 4), (17, 5), (18, 1), (18, 2), (18, 3), (18, 4), (18, 5), (19, 1), (19, 2), (19, 3), (19, 4), (19, 5), (21, 1), (21, 2), (21, 3), (21, 4), (21, 5), (23, 1), (23, 2), (23, 3), (23, 4), (23, 5), (24, 1), (24, 2), (24, 3), (24, 4), (24, 5)]"
22,4,"[(16, 1), (16, 2), (16, 3), (16, 4), (16, 5), (17, 1), (17, 2), (17, 3), (17, 4), (17, 5), (18, 1), (18, 2), (18, 3), (18, 4), (18, 5), (19, 1), (19, 2), (19, 3), (19, 4), (19, 5), (21, 1), (21, 2), (21, 3), (21, 4), (21, 5), (23, 1), (23, 2), (23, 3), (23, 4), (23, 5), (24, 1), (24, 2), (24, 3), (24, 4), (24, 5)]"
22,5,"[(16, 1), (16, 2), (16, 3), (16, 4), (16, 5), (17, 1), (17, 2), (17, 3), (17, 4), (17, 5), (18, 1), (18, 2), (18, 3), (18, 4), (18, 5), (19, 1), (19, 2), (19, 3), (19, 4), (19, 5), (21, 1), (21, 2), (21, 3), (21, 4), (21, 5), (23, 1), (23, 2), (23, 3), (23, 4), (23, 5), (24, 1), (24, 2), (24, 3), (24, 4), (24, 5)]"
23,1,"[(16, 1), (16, 2), (16, 3), (16, 4), (16, 5), (17, 2), (17, 3), (17, 4), (17, 5), (18, 2), (18, 3), (18, 4), (18, 5), (21, 1), (21, 2), (21, 3), (21, 4), (21, 5), (22, 1), (22, 2), (22, 3), (22, 4), (22, 5)]"
23,2,"[(16, 1), (16, 2), (16, 3), (16, 4), (16, 5), (17, 2), (17, 3), (17, 4), (17, 5), (18, 2), (18, 3), (18, 4), (18, 5), (21, 1), (21, 2), (21, 3), (21, 4), (21, 5), (22, 1), (22, 2), (22, 3), (22, 4), (22, 5)]"
23,3,"[(16, 1), (16, 2), (16, 3), (16, 4), (16, 5), (17, 2), (17, 3), (17, 4), (17, 5), (18, 2), (18, 3), (18, 4), (18, 5), (21, 1), (21, 2), (21, 3), (21, 4), (21, 5), (22, 1), (22, 2), (22, 3), (22, 4), (22, 5)]"
23,4,"[(16, 1), (16, 2), (16, 3), (16, 4), (16, 5), (17, 2), (17, 3), (17, 4), (17, 5), (18, 2), (18, 3), (18, 4), (18, 5), (21, 1), (21, 2), (21, 3), (21, 4), (21, 5), (22, 1), (22, 2), (22, 3), (22, 4), (22, 5)]"
23,5,"[(16, 1), (16, 2), (16, 3), (16, 4), (16, 5), (17, 2), (17, 3), (17, 4), (17, 5), (18, 2), (18, 3), (18, 4), (18, 5), (21, 1), (21, 2), (21, 3), (21, 4), (21, 5), (22, 1), (22, 2), (22, 3), (22, 4), (22, 5)]"
24,1,"[(1, 1), (1, 4), (1, 5), (3, 1), (3, 5), (4, 1), (4, 3), (4, 4), (4, 5), (15, 5), (17, 1), (17, 2), (17, 3), (17, 4), (17, 5), (18, 1), (18, 2), (18, 3), (18, 4), (18, 5), (19, 1), (19, 2), (19, 3), (19, 4), (19, 5)]"
24,2,"[(1, 1), (1, 4), (1, 5), (3, 1), (3, 5), (4, 1), (4, 3), (4, 4), (4, 5), (15, 5), (17, 1), (17, 2), (17, 3), (17, 4), (17, 5), (18, 1), (18, 2), (18, 3), (18, 4), (18, 5), (19, 1), (19, 2), (19, 3), (19, 4), (19, 5)]"
24,3,"[(1, 1), (1, 4), (1, 5), (3, 1), (3, 5), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (15, 5), (17, 1), (17, 2), (17, 3), (17, 4), (17, 5), (18, 1), (18, 2), (18, 3), (18, 4), (18, 5), (19, 1), (19, 2), (19, 3), (19, 4), (19, 5)]"
24,4,"[(1, 1), (1, 2), (1, 3), (1, 4), (1, 5), (3, 1), (3, 5), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (15, 1), (15, 5), (17, 1), (17, 2), (17, 3), (17, 4), (17, 5), (18, 1), (18, 2), (18, 3), (18, 4), (18, 5), (19, 1), (19, 2), (19, 3), (19, 4), (19, 5)]"
24,5,"[(1, 1), (1, 2), (1, 3), (1, 4), (1, 5), (3, 1), (3, 5), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (15, 5), (17, 1), (17, 2), (17, 3), (17, 4), (17, 5), (18, 1), (18, 2), (18, 3), (18, 4), (18, 5), (19, 1), (19, 2), (19, 3), (19, 4), (19, 5)]"
